generic id,generic name,slug,drug class,indication
35,Agomelatine,agomelatine-35,Atypical anti-depressant drugs,Migraine
1287,Aflibercept,aflibercept-1287,Cytotoxic Chemotherapy,Colorectal cancer
1849,Afatinib Dimaleate,afatinib-dimaleate-1849,Tyrosine Kinase Inhibitor,Non-small cell lung cancer
1057,Adsorbed Tetanus Vaccine,adsorbed-tetanus-vaccine-1057,Vaccines; Anti-sera & Immunoglobulin,Tetanus
28,Adrenaline,adrenaline-28,Other adrenoceptor stimulants,Transfusion reactions
1768,Dasamularista,dasamularista-1768,Herbal and Nutraceuticals,Anorexia nervosa
1534,Curcuminoids [Curcuma Longa],curcuminoids-curcuma-longa-1534,Herbal and Nutraceuticals,Rheumatoid arthritis
2064,Curcuma Longa [Turmeric Extract],curcuma-longa-turmeric-extract-2064,Herbal and Nutraceuticals,
1533,Cranberry [Vaccinium macrocarpon],cranberry-vaccinium-macrocarpon-1533,Herbal and Nutraceuticals,Urinary tract infection
1746,Compound Asparagus,compound-asparagus-1746,Herbal and Nutraceuticals,General weakness
1549,Collagen II & GAGs,collagen-ii-gags-1549,Herbal and Nutraceuticals,Relieve pain
302,Coenzyme Q10 [Ubidecarenone],coenzyme-q10-ubidecarenone-302,Supplements & adjuvant therapy,Skin moisturization
1612,Chirata [Swertia Chirata],chirata-swertia-chirata-1612,Herbal and Nutraceuticals,Stabilize blood sugar
1702,Chebulic Myrobalan + Barberry,chebulic-myrobalan-barberry-1702,Herbal and Nutraceuticals,Haemorrhoids (Piles)
1611,Carica Papaya Leaf Extract,carica-papaya-leaf-extract-1611,Herbal and Nutraceuticals,Stabilize blood sugar
189,Camphor + Thymol + Menthol + Eucalyptus oil,camphor-thymol-menthol-eucalyptus-oil-189,Herbal and Nutraceuticals,Stiffness
1756,Calendula Officinalis [Marigold],calendula-officinalis-marigold-1756,Herbal and Nutraceuticals,Wounds
1684,Buzuri,buzuri-1684,Herbal and Nutraceuticals,Secondary amenorrhoea
1747,Brahmi Rasayan,brahmi-rasayan-1747,Herbal and Nutraceuticals,Rough & defective voice
1538,Black Cohosh [Cimicifuga Racemosa],black-cohosh-cimicifuga-racemosa-1538,Herbal and Nutraceuticals,Vertigo
1213,Amino Acid + Calcium,amino-acid-calcium-1213,Drugs used in chronic kidney dialysis,Deficient protein metabolism
1890,Amino Acid,amino-acid-1890,Parenteral nutritional preparations,Parenteral nutrition
54,Amikacin,amikacin-54,Aminoglycosides,Urinary tract infection
53,Ambroxol Hydrochloride,ambroxol-hydrochloride-53,Cough expectorants & mucolytics,Sore throat
51,Ambrisentan,ambrisentan-51,Anti-hypertensive,Pulmonary arterial hypertension
50,Amantadine Hydrochloride,amantadine-hydrochloride-50,Respiratory viral infections (Influenza),Parkinsonâ€™s disease
49,Alverine Citrate,alverine-citrate-49,Anticholinergics,Spasm
1297,Aluminium Oxide + Magnesium Trisilicate,aluminium-oxide-magnesium-trisilicate-1297,Antacid with laxative action,Peptic ulcer disease
20,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,aluminium-hydroxide-magnesium-hydroxide-simethicone-20,Antacids,Upper Gl bloating
19,Aluminium Hydroxide + Magnesium Hydroxide,aluminium-hydroxide-magnesium-hydroxide-19,Antacids,Upper Gl bloating
45,Aluminium Chloride Hexahydrate,aluminium-chloride-hexahydrate-45,Miscellaneous topical agents,Oesophagitis
1829,Aluminium Chloride + Melaleuca Alternifolia Oil + Geothermal water,aluminium-chloride-melaleuca-alternifolia-oil-geothermal-water-1829,Miscellaneous topical agents,Hyperhidrosis
1499,Alteplase,alteplase-1499,Fibrinolytics (Thrombolytics),Stroke
18,Alprazolam,alprazolam-18,Benzodiazepine sedatives,Vestibular neuritis
1167,Alphanate,alphanate-1167,Haemostatics,Prevention & control of bleeding in Factor VIII deficiency
1511,Ginkgo Biloba,ginkgo-biloba-1511,Herbal and Nutraceuticals,Intermittent claudication
1683,Garlitab,garlitab-1683,Herbal and Nutraceuticals,Respiratory tract infections
1412,Garlic Oil,garlic-oil-1412,Supplements & adjuvant therapy,Hypertension
1491,Flaxseed oil [Linum Usitatissimum],flaxseed-oil-linum-usitatissimum-1491,Prostaglandin analogues,Hyperlipidemia
1722,Fishar [Snake root; Potassium; Magnesium],fishar-snake-root-potassium-magnesium-1722,Herbal and Nutraceuticals,Insomnia and sleep disturbances
1536,Fermented soy [Lactobacillus Delbrueckii],fermented-soy-lactobacillus-delbrueckii-1536,Herbal and Nutraceuticals,Nausea
1766,Fennel [Mouri; Gohkshura; Kasni],fennel-mouri-gohkshura-kasni-1766,Herbal and Nutraceuticals,Jaundice
921,Evening primrose oil,evening-primrose-oil-921,Herbal and Nutraceuticals,Premenstrual syndrome
1709,Espand,espand-1709,Herbal and Nutraceuticals,Premature ejaculation
1517,Emblica officinalis + Piper longum,emblica-officinalis-piper-longum-1517,Herbal and Nutraceuticals,Vitamin C deficiency
1700,Emblic Myrobalan + Sesame,emblic-myrobalan-sesame-1700,Herbal and Nutraceuticals,Insomnia and sleep disturbances
1739,Emblic Myrobalan + Chebulic + Belleric,emblic-myrobalan-chebulic-belleric-1739,Herbal and Nutraceuticals,Indigestion
1738,Emblic Myrobalan + Aswagandha + Grape,emblic-myrobalan-aswagandha-grape-1738,Herbal and Nutraceuticals,Malnutrition
1685,Ejaz,ejaz-1685,Herbal and Nutraceuticals,Tonsillitis
1512,Echinacea,echinacea-1512,Herbal and Nutraceuticals,To develop immune system
1775,Amorolfine Hydrochloride (Nail Lacquer),amorolfine-hydrochloride-nail-lacquer-1775,Other preparations,Onychomycosis
1648,Amorolfine Hydrochloride (cream),amorolfine-hydrochloride-cream-1648,Topical Antifungal preparations,Tinea corporis (ringworm)
67,Amlodipine Besilate + Valsartan,amlodipine-besilate-valsartan-67,Combined antihypertensive preparations,Hypertension
66,Amlodipine Besilate + Telmisartan,amlodipine-besilate-telmisartan-66,Combined antihypertensive preparations,Hypertension
65,Amlodipine Besilate + Olmesartan Medoxomil,amlodipine-besilate-olmesartan-medoxomil-65,Combined antihypertensive preparations,Hypertension
64,Amlodipine Besilate + Benazepril Hydrochloride,amlodipine-besilate-benazepril-hydrochloride-64,Combined antihypertensive preparations,Hypertension
68,Amlodipine Besilate + Atorvastatin,amlodipine-besilate-atorvastatin-68,Anti-anginal & lipid lowering drugs,Stroke
63,Amlodipine Besilate + Atenolol,amlodipine-besilate-atenolol-63,Combined antihypertensive preparations,Refractory angina pectoris where nitrate therapy has failed
62,Amlodipine Besilate,amlodipine-besilate-62,Calcium-channel blockers,Stroke
61,Amlexanox,amlexanox-61,,
622,Amitriptyline Hydrochloride + Chlordiazepoxide,amitriptyline-hydrochloride-chlordiazepoxide-622,Combined anxiolytics & anti-depressant drugs,Tension
60,Amitriptyline Hydrochloride,amitriptyline-hydrochloride-60,Tricyclic Anti-depressant,Trichotillomania
1649,Amisulpride,amisulpride-1649,Atypical neuroleptic drugs,Post-operative nausea and vomiting
59,Amiodarone Hydrochloride,amiodarone-hydrochloride-59,Potassium channel blockers,Ventricular arrhythmias
58,Aminophylline,aminophylline-58,Bronchodilator,Status asthmaticus
1706,Kabid Nawshadri,kabid-nawshadri-1706,Herbal and Nutraceuticals,Indigestion
1767,Jouban Satadal,jouban-satadal-1767,Herbal and Nutraceuticals,Testosterone replacement therapy
1521,Jogaraj Guggulu,jogaraj-guggulu-1521,Herbal and Nutraceuticals,Spondylitis
1755,Jirakaddarista,jirakaddarista-1755,Herbal and Nutraceuticals,Mild diarrhea
1711,Jinsin,jinsin-1711,Herbal and Nutraceuticals,Immunodeficiency
1527,Jeerakaddarishta Carminative,jeerakaddarishta-carminative-1527,Herbal and Nutraceuticals,Severe diarrhea
1749,Jamani Arka,jamani-arka-1749,Herbal and Nutraceuticals,Indigestion
1720,Jadwar [Denudatum; Saffron; Henbane],jadwar-denudatum-saffron-henbane-1720,Herbal and Nutraceuticals,Premature ejaculation
1646,Ispaghula Husk + Sonapata,ispaghula-husk-sonapata-1646,Bulk-forming laxatives,Ulcerative colitis
1310,Ispaghula Husk + Mebeverine Hydrochloride,ispaghula-husk-mebeverine-hydrochloride-1310,Bulk-forming laxatives,Hypercholesterolaemia
1531,Hingastak Churna,hingastak-churna-1531,Herbal and Nutraceuticals,Peptic ulcer disease
1690,Herbal Multivitamin,herbal-multivitamin-1690,Herbal and Nutraceuticals,Malnutrition
1688,Herbal gastric preparation,herbal-gastric-preparation-1688,Herbal and Nutraceuticals,Nausea
1740,Herbal cough syrup [Vasakarista],herbal-cough-syrup-vasakarista-1740,Herbal and Nutraceuticals,Cough
1769,Herbal cough syrup [Tulsi],herbal-cough-syrup-tulsi-1769,Herbal and Nutraceuticals,Cough
81,Artemether + Lumefantrine,artemether-lumefantrine-81,Anti-malarial drugs,Falciparum malaria
80,Artemether,artemether-80,Anti-malarial drugs,Schistosomiasis
1372,Armodafinil,armodafinil-1372,CNS stimulant drugs,Shift work disorder (SWD)
75,Aripiprazole,aripiprazole-75,Atypical neuroleptic drugs,Schizophrenia
1815,Arformoterol Tartrate,arformoterol-tartrate-1815,Bronchodilator,Emphysema
1488,Arabinoxylan,arabinoxylan-1488,Immunomodulator,Heart disease
74,Aprepitant,aprepitant-74,Anti-emetic drugs,Nausea and vomiting
1378,Apremilast,apremilast-1378,Disease-modifying antirheumatic drugs (DMARDs),Psoriatic arthritis
1400,Apixaban,apixaban-1400,Fibrinolytics (Thrombolytics),Venous thrombosis
1895,Apis mellifica + Gelsemium sempervirens + Gnaphalium,apis-mellifica-gelsemium-sempervirens-gnaphalium-1895,,
1666,Antioxidants and Micronutrients,antioxidants-and-micronutrients-1666,Anti-oxidant Multivitamin Multimineral preparations,Spermatogenesis induction
73,Antihemophilic Factor [Factor VIII],antihemophilic-factor-factor-viii-73,Antihaemophilic factor,Hemophilia
1560,Anti-Thymocyte Globulin,anti-thymocyte-globulin-1560,Vaccines; Anti-sera & Immunoglobulin,Renal transplant
79,Antazoline + Tetryzoline,antazoline-tetryzoline-79,Other ophthalmic preparations,Keratitis
1798,Anidulafungin,anidulafungin-1798,Echinocandins,Deep tissue candida infections
1518,Nabayas Louha Herbal Haematinic,nabayas-louha-herbal-haematinic-1518,Herbal and Nutraceuticals,Iron deficiency anemia
1741,Mustakarista [Cyperus; Zingiber; Piper nigrum],mustakarista-cyperus-zingiber-piper-nigrum-1741,Herbal and Nutraceuticals,Indigestion
1696,Mumshik,mumshik-1696,Herbal and Nutraceuticals,Premature ejaculation
1725,Mudir [Aloe; Saffron; Ferrus sulphate],mudir-aloe-saffron-ferrus-sulphate-1725,Herbal and Nutraceuticals,Secondary amenorrhoea
1750,Monjistha [Rubia cordifolia],monjistha-rubia-cordifolia-1750,Herbal and Nutraceuticals,Oedema
1223,Menthol + Camphor + Methyl Salicylate + Oleoresin Capsicum,menthol-camphor-methyl-salicylate-oleoresin-capsicum-1223,Topical Analgesics,Strains
1529,Menthol + Camphor + Eucalyptus Oil + Mint Oil,menthol-camphor-eucalyptus-oil-mint-oil-1529,Herbal and Nutraceuticals,Shoulder pain
1748,Mentha + Cinnamomum + Gaultheria + Capsicum,mentha-cinnamomum-gaultheria-capsicum-1748,Herbal and Nutraceuticals,Stiffness
1687,Marwareedi,marwareedi-1687,Herbal and Nutraceuticals,Vaginal leucorrhoea
2062,Marine Collagen,marine-collagen-2062,Specific mineral preparations,
1692,Marham Kharish,marham-kharish-1692,Herbal and Nutraceuticals,Scabies
1846,Malus sylvestris,malus-sylvestris-1846,Herbal and Nutraceuticals,General weakness
1530,Mahadrakkharist [Grape extract],mahadrakkharist-grape-extract-1530,Herbal and Nutraceuticals,Tuberculosis
1537,Lutein + Zeaxanthin,lutein-zeaxanthin-1537,Herbal and Nutraceuticals,Macular Degeneration
1710,Liquorice + Cascara Sagrada + Belladona,liquorice-cascara-sagrada-belladona-1710,Herbal and Nutraceuticals,Enuresis
1679,Azelastine Hydrochloride (Eye drop),azelastine-hydrochloride-eye-drop-1679,Anti-histamine Preparations,Conjunctivitis
97,Azelaic Acid,azelaic-acid-97,Acne treatment preparations,Rosacea
96,Azathioprine,azathioprine-96,Cytotoxic immunosuppressants,Vasculitis
1383,Axitinib,axitinib-1383,Targeted Cancer Therapy,Renal cell carcinoma
1396,Avanafil,avanafil-1396,Drugs for Erectile Dysfunction,Erectile dysfunction
94,Atropine Sulfate,atropine-sulfate-94,Mydriatic and Cycloplegic agents,Organophosphorous poisoning
93,Atracurium Besilate,atracurium-besilate-93,Non depolarizing muscle relaxants,General anaesthesia
1819,Atosiban Acetate,atosiban-acetate-1819,Other preparations,Delay imminent pre-term birth
92,Atorvastatin Calcium,atorvastatin-calcium-92,Other Anti-anginal & Anti-ischaemic drugs,Reducing cholesterol levels
2049,Atorvastatin + Ezetimibe,atorvastatin-ezetimibe-2049,Other lipid regulating drugs,
91,Atomoxetine Hydrochloride,atomoxetine-hydrochloride-91,CNS stimulant drugs,Hyperactivity disorders
1500,Atezolizumab,atezolizumab-1500,Vaccines; Anti-sera & Immunoglobulin,Urothelial bladder carcinoma
89,Atenolol + Chlorthalidone,atenolol-chlorthalidone-89,Combined antihypertensive preparations,Hypertension
88,Atenolol,atenolol-88,Beta-adrenoceptor blocking drugs,Tachycardia
87,Astaxanthin,astaxanthin-87,Supplements & adjuvant therapy,Strength and endurance & immune system
1528,Red Clover Isoflavones,red-clover-isoflavones-1528,Herbal and Nutraceuticals,Hot flushes
1736,Qurs Mulayin [Scammony; Lavender; Fennel],qurs-mulayin-scammony-lavender-fennel-1736,Herbal and Nutraceuticals,Osmotic laxative
1988,Pumpkin [Cucurbita pepo],pumpkin-cucurbita-pepo-1988,Herbal and Nutraceuticals,Benign prostatic hyperplasia (BPH)
1503,Psyllium [Ispaghula Husk] + Senna Extract,psyllium-ispaghula-husk-senna-extract-1503,Bulk-forming laxatives,Piles
1498,Probiotic Combination [4 Billion],probiotic-combination-4-billion-1498,Herbal and Nutraceuticals,Lactose intolerance such as bloating; flatulence; diarrhea
1887,Probiotic Combination [3.2 Billion],probiotic-combination-32-billion-1887,Herbal and Nutraceuticals,Indigestion
2069,Probiotic Combination [2.3 Billion],probiotic-combination-23-billion-2069,Herbal and Nutraceuticals,
2070,Probiotic Combination [2 Billion],probiotic-combination-2-billion-2070,Herbal and Nutraceuticals,
1539,Proanthocyanidins,proanthocyanidins-1539,Herbal and Nutraceuticals,Venous thrombosis
1762,Prasarani Sandhan,prasarani-sandhan-1762,Herbal and Nutraceuticals,Rheumatoid arthritis
874,Peppermint Oil,peppermint-oil-874,Anticholinergics (antimuscarinics)/ Anti-spasmodics,Irritable bowel syndrome (IBS)
1689,Penitab,penitab-1689,Herbal and Nutraceuticals,Restlessness
1694,Pechish,pechish-1694,Herbal and Nutraceuticals,Diarrhoea
1522,Patrangasav,patrangasav-1522,Herbal and Nutraceuticals,Vaginal leucorrhoea
1514,Panax Ginseng,panax-ginseng-1514,Herbal and Nutraceuticals,
1781,Beclomethasone Dipropionate + Chloramphenicol + Clotrimazole + Lidocaine,beclomethasone-dipropionate-chloramphenicol-clotrimazole-lidocaine-1781,Anti-fungal or anti-bacterial ear drops,Fungal infections
1221,Beclomethasone Dipropionate (Nasal Spray),beclomethasone-dipropionate-nasal-spray-1221,Nasal Steroid Preparations,Rhinitis
109,Beclomethasone Dipropionate (Inhaler),beclomethasone-dipropionate-inhaler-109,Respiratory corticosteroids,Sinusitis
1592,Beclometasone Dipropionate + Formoterol Fumarate,beclometasone-dipropionate-formoterol-fumarate-1592,Respiratory corticosteroids,COPD
108,Basiliximab,basiliximab-108,Cytotoxic immunosuppressants,Organ transplantation
107,Barium Sulfate,barium-sulfate-107,Contrast medium for diagnostic procedures,X-ray imaging
1581,Baricitinib,baricitinib-1581,Immunosuppressant,Rheumatoid arthritis
106,Bambuterol Hydrochloride,bambuterol-hydrochloride-106,Short-acting selective & Î²2-adrenoceptor stimulants,H. pylori infection
1883,Baloxavir Marboxil,baloxavir-marboxil-1883,Respiratory viral infections (Influenza),Influenza
994,Balanced Salt Solution,balanced-salt-solution-994,Irrigation during various surgical procedures,Irrigation solution
105,Baclofen,baclofen-105,Centrally acting Skeletal Muscle Relaxants,Trigeminal neuralgia
104,Bacitracin Zinc + Polymyxin B Sulfate,bacitracin-zinc-polymyxin-b-sulfate-104,Ophthalmic antibacterial drugs,Diaper rash
1474,Bacillus Clausii spores,bacillus-clausii-spores-1474,,Diarrhoea
101,Aztreonam,aztreonam-101,Other beta-lactam Antibiotics,Urinary tract infection
1865,Azithromycin Dihydrate (Ophthalmic),azithromycin-dihydrate-ophthalmic-1865,Macrolides,Conjunctivitis
1765,Stevia Rebaudiana,stevia-rebaudiana-1765,Herbal and Nutraceuticals,Artificial sweetener
1516,St. Johnâ€™s Wort,st-johns-wort-1516,Herbal and Nutraceuticals,Insomnia and sleep disturbances
1513,Spirulina,spirulina-1513,Herbal and Nutraceuticals,Runny nose
987,Silymarin [Milk thistle],silymarin-milk-thistle-987,Cholagogues; Cholelitholytics & Hepatic Protectors,Jaundice
1770,Sharbat Musaffi,sharbat-musaffi-1770,Herbal and Nutraceuticals,Syphilis
1825,Sharbat Amla,sharbat-amla-1825,Herbal and Nutraceuticals,Vitamin C deficiency
1761,Saw palmetto (500 mg),saw-palmetto-500-mg-1761,Herbal and Nutraceuticals,Healthy urinary flow
1532,Saw Palmetto (160 mg),saw-palmetto-160-mg-1532,Herbal and Nutraceuticals,Supports normal prostate function
1763,Saribadyarista,saribadyarista-1763,Herbal and Nutraceuticals,Scabies
1691,Sanoon Babla,sanoon-babla-1691,Herbal and Nutraceuticals,Toothache
1764,Sanjivani Rasayan,sanjivani-rasayan-1764,Herbal and Nutraceuticals,General weakness
1728,Sana + Revand Chini + Neem + Chirata + Tulsi,sana-revand-chini-neem-chirata-tulsi-1728,Herbal and Nutraceuticals,Vitiligo
1714,Salep + Coconut + Poppy Seeds +  Almond,salep-coconut-poppy-seeds-almond-1714,Herbal and Nutraceuticals,Spermatogenesis induction
1729,Salajeet [Mineral Pitch; Red Sage],salajeet-mineral-pitch-red-sage-1729,Herbal and Nutraceuticals,Vaginal leucorrhoea
1721,Saffron + Sand Lizard + Nutmeg fruit,saffron-sand-lizard-nutmeg-fruit-1721,Herbal and Nutraceuticals,Premature ejaculation
126,Betamethasone + Calcipotriol,betamethasone-calcipotriol-126,Betamethasone & Combined preparations,Scalp psoriasis
1617,Betamethasone,betamethasone-1617,Corticosteroid,Rheumatoid arthritis
122,Betahistine Mesylate,betahistine-mesylate-122,Drugs used in meniere's diseases,Vertigo
121,Betahistine Dihydrochloride,betahistine-dihydrochloride-121,Drugs used in meniere's diseases,Vertigo
120,Betacarotene + Vitamin C + Vitamin E,betacarotene-vitamin-c-vitamin-e-120,Anti-oxidant Multivitamin preparations,Vitamin deficiency
119,Besifloxacin,besifloxacin-119,Ophthalmic antibacterial drugs,Inflammation of the cornea
118,Bepotastine Besilate,bepotastine-besilate-118,Ophthalmic Anti-allergic preparations,Conjunctivitis
116,Benzyl Penicillin,benzyl-penicillin-116,Benzylpenicillin & Phenoxymethyl penicillin,Syphilis
115,Benzyl Benzoate,benzyl-benzoate-115,Parasiticidal preparations,Scabies
1276,Benzyl Alcohol,benzyl-alcohol-1276,Other scalp preparations,Pediculosis capitis
1432,Benzydamine Hydrochloride,benzydamine-hydrochloride-1432,Topical anti-inflammatory preparations,Sore throat
114,Benzoyl Peroxide,benzoyl-peroxide-114,Acne treatment preparations,Teeth whitening
113,Benzoic Acid + Salicylic Acid,benzoic-acid-salicylic-acid-113,Other Antifungal preparations,Fungal infections
1254,Benzocaine + Camphor + Methanol + Phenol,benzocaine-camphor-methanol-phenol-1254,Topical Local Anesthetics,Toothache
1470,Benzocaine + Butamben + Tetracaine Hydrochloride,benzocaine-butamben-tetracaine-hydrochloride-1470,Topical Local Anesthetics,Topical anesthesia
1671,Î²-Sitosterol,Î²-sitosterol-1671,Herbal and Nutraceuticals,Wounds
1520,Yohimbine Hydrochloride,yohimbine-hydrochloride-1520,Herbal and Nutraceuticals,Libido
1704,White Damar + Acacia + Bole Rubra,white-damar-acacia-bole-rubra-1704,Herbal and Nutraceuticals,Gastric ulcer
1138,Vitamin E [Alpha Tocopherol Acetate],vitamin-e-alpha-tocopherol-acetate-1138,Vitamin-E Preparations,Vitamin E deficiency and peripheral neuropathy
1672,Vitamin D3 + Vitamin K1 + Vitamin K2,vitamin-d3-vitamin-k1-vitamin-k2-1672,Herbal and Nutraceuticals,Bleeding or blood clotting problems
1751,Vaskar Laban [Piper + Zingiber + Cinnamomum],vaskar-laban-piper-zingiber-cinnamomum-1751,Herbal and Nutraceuticals,Indigestion
1681,Valerian Root,valerian-root-1681,Herbal and Nutraceuticals,Spasm
1842,Tocotrienol + Tocopherol,tocotrienol-tocopherol-1842,Herbal and Nutraceuticals,Maintain healthy skin; hair; nail; teeth; bone; eye and nervous system
1724,Tila Jadeed [Madar; Mace arillus; Nutmeg nut],tila-jadeed-madar-mace-arillus-nutmeg-nut-1724,Herbal and Nutraceuticals,Sluggishness
1843,Tart Cherry,tart-cherry-1843,Herbal and Nutraceuticals,Antioxidant
1682,Tabkheer,tabkheer-1682,Herbal and Nutraceuticals,Indigestion
1735,Suzark [Chir Pine; Chickpea; Pearl],suzark-chir-pine-chickpea-pearl-1735,Herbal and Nutraceuticals,Vaginal leucorrhoea
1734,Suranjan,suranjan-1734,Herbal and Nutraceuticals,Rheumatoid arthritis
1820,Steviol Glycoside,steviol-glycoside-1820,Herbal and Nutraceuticals,Artificial sweetener
111,Benzocaine,benzocaine-111,Local & Surface anesthesia,Toothache
110,Benzathine Penicillin,benzathine-penicillin-110,Long acting penicillin,Uncomplicated pneumococcal pneumonia
133,Bisacodyl,bisacodyl-133,Stimulant purgatives,Osmotic purgative
611,Biphasic Insulin Aspart [rDNA],biphasic-insulin-aspart-rdna-611,Combination Insulin,Type 1 DM
1301,Bimatoprost + Timolol,bimatoprost-timolol-1301,Other ophthalmic preparations,Open angle glaucoma
132,Bimatoprost,bimatoprost-132,Drugs for miotics and glaucoma,Open angle glaucoma
1457,Bilastine,bilastine-1457,Non-sedating antihistamines,Urticaria
993,Bicarbonate Component [HCO3 Hemodialysis Solution],bicarbonate-component-hco3-hemodialysis-solution-993,Haemodialysis solutions,Haemodialysis
1289,Bicalutamide,bicalutamide-1289,Hormonal Chemotherapy,Metastatic prostate cancer
1579,Betrixaban,betrixaban-1579,Anti-platelet drugs,Venous thromboembolism
131,Bevacizumab,bevacizumab-131,Targeted Cancer Therapy,Wet age-related macular degeneration
130,Betaxolol Hydrochloride,betaxolol-hydrochloride-130,Drugs for miotics and glaucoma,Open angle glaucoma
1615,Betamethasone Valerate,betamethasone-valerate-1615,Corticosteroid,Psoriasis
1616,Betamethasone Sodium Phosphate,betamethasone-sodium-phosphate-1616,Corticosteroid,Ocular infections
1189,Betamethasone Dipropionate + Salicylic Acid,betamethasone-dipropionate-salicylic-acid-1189,Topical anti-inflammatory preparations,Seborrhea
123,Betamethasone Dipropionate,betamethasone-dipropionate-123,Corticosteroid,Ulcerative colitis
1226,Betamethasone + Neomycin Sulphate (Topical),betamethasone-neomycin-sulphate-topical-1226,Aural steroid & antibiotic combined preparations,Systemic lupus erythematosus (SLE)
1164,Betamethasone + Phenylephrine + Lignocaine,betamethasone-phenylephrine-lignocaine-1164,Phlebotonic & Vascular protecting preparation,Piles
124,Betamethasone + Neomycin Sulphate (E/E),betamethasone-neomycin-sulphate-ee-124,Ophthalmic steroid - antibiotic combined preparations,Uveitis
1242,Betamethasone + Gentamicin,betamethasone-gentamicin-1242,Other Topical corticosteroids,Psoriasis
